"Paul Goldschmidt_ARI","Charlie Blackmon_COL","Jake Lamb_ARI","Ryan Braun_MIL","AJ Pollock_ARI","Eric Thames_MIL","Jonathan Villar_MIL","Nolan Arenado_COL","Corey Dickerson_TB","Jose Altuve_HOU","Mark Reynolds_COL","Miguel Sano_MIN","Travis Shaw_MIL","Carlos Gonzalez_COL","Randal Grichuk_STL","DJ LeMahieu_COL","Matt Carpenter_STL","Jedd Gyorko_STL","Trevor Story_COL","Brian Dozier_MIN","Chris Owings_ARI","Ian Desmond_COL","Dexter Fowler_STL","David Dahl_COL","Logan Morrison_TB","David Peralta_ARI","Manny Machado_BAL","Aledmys Diaz_STL","Keon Broxton_MIL","Mark Trumbo_BAL","Stephen Piscotty_STL","Max Kepler_MIN","Yasmany Tomas_ARI","Adam Jones_BAL","Chris Davis_BAL","Carlos Correa_HOU","Kolten Wong_STL","Steven Souza_TB","Gerardo Parra_COL","Hernan Perez_MIL","Domingo Santana_MIL","Yadier Molina_STL","Brad Miller_TB","Brandon Drury_ARI","Evan Longoria_TB","Robbie Grossman_MIN","Josh Reddick_HOU","Welington Castillo_BAL","Alex Bregman_HOU","Jhonny Peralta_STL","Tommy Pham_STL","Pat Valaika_COL","Joe Mauer_MIN","Wilson Ramos_TB","Byron Buxton_MIN","Chris Herrmann_ARI","Rey Fuentes_ARI","Marwin Gonzalez_HOU","George Springer_HOU","Greg Garcia_STL","Colby Rasmus_TB","Kennys Vargas_MIN","Kevin Kiermaier_TB","Nick Franklin_MIL","Jeremy Hazelbaker_ARI","Nick Ahmed_ARI","Seth Smith_BAL","Trey Mancini_BAL","Jose Martinez_STL","Stephen Cardullo_COL","Raimel Tapia_COL","Matt Duffy_TB","Brian McCann_HOU","Evan Gattis_HOU","Dustin Garneau_COL","Magneuris Sierra_STL","Harrison Bader_STL","Jorge Polanco_MIN","Jesus Aguilar_MIL","Socrates Brito_ARI","Orlando Arcia_MIL","Jonathan Schoop_BAL","Derek Fisher_HOU","Joey Rickard_BAL","Tom Murphy_COL","Carson Kelly_STL","Gregor Blanco_ARI","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Jett Bandy_MIL","Carlos Beltran_HOU","Eric Fryer_STL","Tony Wolters_COL","Jake Bauers_TB","Eric Sogard_MIL","Hyun Soo Kim_BAL","Alexi Amarista_COL","JJ Hardy_BAL","Craig Gentry_BAL","Rickie Weeks_TB","Eduardo Escobar_MIN","Mallex Smith_TB","Chris Iannetta_ARI","Norichika Aoki_HOU","Jake Marisnick_HOU","Yuli Gurriel_HOU","Peter Bourjos_TB","Jesus Sucre_TB","Tim Beckham_TB","Jason Castro_MIN","Eddie Rosario_MIN","Daniel Descalso_ARI","Ryan Hanigan_COL","Cristhian Adames_COL","Derek Norris_TB","Curt Casali_TB","Chris Gimenez_MIN","Daniel Robertson_TB","Paul Janish_BAL","Francisco Pena_BAL","Ryan Flaherty_BAL","Caleb Joseph_BAL","Michael Martinez_TB","Jeff Mathis_ARI","Luis Sardinas_BAL","Shane Peterson_TB","Ehire Adrianza_MIN","Juan Centeno_HOU","Tony Kemp_HOU"
0,5.36190476190476,0,0,0,0,0,11.1846846846847,0,0,68.5156472261735,0,0,-1.77361853832442,0,10.1386554621849,0,0,10.7569230769231,0,0,2.6952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,24.6111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2.06593406593407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17647058823529,0,0,0,52.9047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,88.6098484848485,0,0,0,0,0,0,0,-0.0817204301075269,0,0,0,0,0,0,0,0,0,0,0,33.1068376068376,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3833333333333,0,0,0,0,0,0,25.7948717948718,0,15.5800492610837,0,0,0,0,0,0,11.3205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.85,0,0,0,0,0,0,0,0,6.0395256916996,-3.8743842364532,0,0,0,0,0,10.6727272727273,0,0,0,0,0,0,0,0,0,70,0,0
0,0,0,-16.8025362318841,0,14.8286290322581,1.18894830659537,0,0,0,0,0,72.9354354354354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67460317460317,0,0,0,0,0,0,0,0,0,0,-5.31422924901186,4.92165242165242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9375,0,0,0,0,0,0,-2.125,22.75,0,-17.0736842105263,0,0,0,0,-17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.9345661450925,0,0,0,0,0,3.79374110953058,0,0,-1.77361853832442,0,0,34.7989203778677,0,12.1492063492063,0,0,8.575,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64935064935065,0,0,0,0,0,0,0,0,0,0,0,0,5.95833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.66666666666667,0,0,0,0,-2.86363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22857142857143,0,0,0,25.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5587301587302,0,4.40524193548387,-13.6623931623932,0,0,0,0,-0.315270935960591,0,0,0,0,14.1996434937611,0,0,-3.68577075098814,0,0,0,0,0,1.7487684729064,0,0,0,0,3.45738636363636,0,0,0,0,0,0,0,10.7777777777778,7.58333333333333,0,0,0,0,0,0,0,0,-8.95238095238095,0,0,0,0,0,0,0,0,6.38095238095238,0,0,0,0,0,0,-19.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.391891891891892,0,0,0,0,0,1.41835357624831,0,0,10.1386554621849,0,0,12.1492063492063,0,49.8230769230769,0,0,4.93230769230769,0,0,1.13398692810458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.08695652173913,0,0,0,0,0,0,0,0,0,0,0,0,18.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,3.81904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276315789473684,0,0,0,59.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40524193548387,0,45.8618618618619,12.8505747126437,0,0,0,0,-15.7264367816092,0,0,0,0,20.4375,0,0,1.22077922077922,0,0,0,0,0,-2.80689655172414,0,0,0,0,3.66666666666667,0,0,0,0,0,0,0,12.3333333333333,19.3636363636364,0,0,0,0,0,0,0,0,12.6607142857143,0,0,0,0,0,0,0,0,39.25,0,0,0,0,0,0,-17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.6623931623932,0,12.8505747126437,66.4667338709677,0,0,0,0,-6.39166666666667,0,0,0,0,21.8448275862069,0,0,8.33333333333333,0,0,0,0,0,8.245,0,0,0,0,1.48602150537634,0,0,0,0,0,0,0,2.75,15.1,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,5.56666666666667,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.35185185185185,0,0,0,0,0,5.03571428571429,0,0,10.7569230769231,0,0,8.575,0,4.93230769230769,0,0,38.8645320197044,0,0,-3.30952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67894736842105,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.25,0,0,0,0,-5.37179487179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33333333333333,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-0.0817204301075269,0,0,0,0,0,0,0,38.0236559139785,0,0,0,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.31620553359684,0,0,0,0,0,0,1.69692307692308,0,16.2079772079772,0,0,0,0,0,0,6.9469696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.36945812807882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76923076923077,0,0,0,0,0,0,0,0,13.7569169960474,-7.68783068783069,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
1.86628733997155,0,-15.9117647058824,0,-5.20229885057471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4385964912281,0,0,0,0,9.33760683760684,0,0,0,0,0,0,18.5795698924731,0,0,0,0,0,0,0,0,0,0,0.659139784946237,0,0,0,0,0,0,0,0,0,0,0,-39.5454545454545,0,0,0,0,0,0,0,0,0,-5.75714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.3444444444444,0,0,0,0,0,0,0,0,19.7727272727273,0,0,0,0,0,0,0,0,0,0,0,-4.41428571428571,0,0,0,0,0
0,5.61397058823529,0,0,0,0,0,22.4411764705882,0,0,2.6952380952381,0,0,3.75,0,1.13398692810458,0,0,-3.30952380952381,0,0,63.719298245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.8928571428571,0,0,0,0,0,0,0,0,0,0,0,0,-23.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.433333333333333,0,0,0,-17.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.315270935960591,0,-15.7264367816092,-6.39166666666667,0,0,0,0,70.4393939393939,0,0,0,0,-1.27634408602151,0,0,4.40833333333333,0,0,0,0,0,-1.10153846153846,0,0,0,0,5.13793103448276,0,0,0,0,0,0,0,2.22222222222222,-19.3333333333333,0,0,0,0,0,0,0,0,15.0833333333333,0,0,0,0,0,0,0,0,3.23333333333333,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.46218487394958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.601706970128,0,0,0,0,0,0,0,0,0,0,0,0,-3.72795698924731,0,0,0,0,22.1908831908832,0,9.22822822822823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18571428571429,0,2.14864864864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,-29.1666666666667,0,0,0,0,-6.66666666666667,10.8888888888889,-8.03598484848485,0,0,0,0,0,4.2037037037037,0,0,1.41911764705882,0,0,0,0,-7,0,0,-8.66666666666667,0,0,0
10.8522727272727,0,29.875,0,10.7687747035573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33760683760684,0,0,0,0,76.5035650623886,0,0,0,0,0,0,22.6146245059289,0,0,0,0,0,0,0,0,0,0,27.0854700854701,0,0,0,0,0,0,0,0,0,0,0,41.7878787878788,0,0,0,0,0,0,0,0,36.4166666666667,-8.72222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1785714285714,0,0,0,0,0,0,0,0,-30.8090909090909,0,0,0,0,0,0,0,0,0,0,0,-9.94117647058824,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5261324041812,0,0,27.0487804878049,0,0,0,4.21768292682927,-0.653846153846154,0,0,0,0,0,0,0,0,0,0,0,0,10.1739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5584415584416,11.325,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13170731707317,0,-0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80583214793741,43.1944444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,-28.5,-1.78676470588235,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1996434937611,0,20.4375,21.8448275862069,0,0,0,0,-1.27634408602151,0,0,0,0,69.1201201201201,0,0,-6.65367965367965,0,0,0,0,0,3.00246305418719,0,0,0,0,5.94033613445378,0,0,0,0,0,0,0,8.5,-29.4545454545455,0,0,0,0,0,0,0,0,3.53333333333333,0,0,0,0,0,0,0,0,34.8666666666667,0,0,0,0,0,0,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-25.7761904761905,0,-8.01851851851852,12.3850806451613,0,0,0,0,0,7.67460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.1524064171123,0,0,0,0,0,0,0,0,0,0,11.85,-0.00132275132275132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.5,0,6.53448275862069,0,0,0,0,0,0,-4.16666666666667,0,0,-18.4649122807018,0,0,0,0,-1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0487804878049,0,0,61.5447154471545,0,0,0,6.55426829268293,16.4102564102564,0,0,0,0,0,0,0,0,0,0,0,0,50.2065217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.87878787878788,22.4666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.59695121951219,0,5.92222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2339971550498,22.6111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-9.75,0.661764705882353,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.68577075098814,0,1.22077922077922,8.33333333333333,0,0,0,0,4.40833333333333,0,0,0,0,-6.65367965367965,0,0,42.9184615384615,0,0,0,0,0,-9.16428571428571,0,0,0,0,-1.27272727272727,0,0,0,0,0,0,0,5.53571428571429,0,0,0,0,0,0,0,0,0,31.5892857142857,0,0,0,0,0,0,0,0,-6.93333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.41666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,33.1068376068376,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0,0,0,58.2539682539683,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2631578947368,0,0,0,0,0,0,12.5784615384615,0,18.2391304347826,0,0,0,0,0,0,-14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2424242424242,0,0,0,0,0,0,0,0,1.39920948616601,3.54347826086957,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,-1.5,0,0
