"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08"
"Joc Pederson_LAD",NA,22,NA,2,NA,NA,2,NA,5,NA,2,NA,5,NA,2,NA,7,NA,NA,12,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,19
"Kole Calhoun_LAA",NA,NA,7,11,NA,21,5,9,NA,0,10,3,2,2,0,2,0,NA,NA,9,7,4,3,5,11,0,10,10,19,NA,16,21,0,NA,NA,5,3
"Justin Turner_LAD",NA,19,3,13,NA,NA,0,16,2,NA,NA,7,14,11,6,7,7,NA,NA,7,8,5,3,8,11,7,15,NA,13,0,11,2,NA,5,NA,NA,5
"Yasmani Grandal_LAD",NA,30,0,0,NA,NA,4,NA,8,NA,2,5,8,NA,9,3,NA,2,NA,9,NA,16,0,2,7,NA,2,0,13,2,NA,3,NA,0,NA,NA,14
"Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,2,10,28,3,12,21,0,NA,17,NA,NA,4
"Cameron Maybin_LAA",NA,NA,8,7,NA,14,3,NA,NA,11,NA,9,0,7,NA,NA,0,5,NA,5,8,NA,12,2,17,NA,2,NA,0,NA,18,NA,5,10,NA,9,0
"Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3,0,NA,13,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJ Cron_LAA",NA,NA,NA,8,NA,0,NA,10,NA,NA,5,NA,NA,NA,5,0,0,3,NA,2,9,2,NA,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian Gonzalez_LAD",NA,13,3,11,NA,NA,8,11,0,NA,3,NA,5,2,3,NA,6,7,NA,0,NA,16,0,7,2,NA,3,8,3,3,NA,0,NA,NA,NA,NA,NA
"Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA,3,0,NA,11,3,14,18,NA,3,4,9,18,14,3,3,NA,5,4,0,3,0,5,NA,3,2,NA,0,NA,13,19
"Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,19
"Chase Utley_LAD",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,6,NA,5,NA,3,5,NA,0,NA,0,NA,0,NA,NA,NA
"Franklin Gutierrez_LAD",NA,NA,3,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA
"Josh Harrison_PIT",NA,7,NA,3,NA,NA,5,NA,NA,6,7,0,NA,14,11,4,3,3,NA,8,NA,6,12,3,21,NA,15,0,7,28,20,7,3,0,NA,NA,0
"Josh Bell_PIT",NA,5,NA,0,NA,NA,NA,13,3,0,0,0,NA,3,NA,8,3,14,NA,16,5,NA,7,2,19,NA,9,5,26,2,0,5,10,21,NA,0,0
"Stephen Vogt_OAK",NA,NA,0,5,NA,5,2,NA,10,NA,10,0,NA,5,NA,5,0,NA,NA,4,NA,3,NA,0,3,NA,0,3,NA,NA,3,NA,19,0,NA,NA,3
"Jefry Marte_LAA",NA,NA,9,NA,NA,NA,5,NA,NA,14,NA,0,2,NA,NA,0,NA,0,NA,NA,NA,0,2,0,10,NA,NA,2,21,NA,4,NA,5,2,NA,NA,NA
"Alen Hanson_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,NA,20,NA,0,0,NA,NA,NA
"Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,10,NA,NA,3,NA,7,NA,0,14,NA,10,NA,NA,NA,NA,NA,32
"Yunel Escobar_LAA",NA,NA,5,4,NA,13,26,14,NA,15,0,0,5,0,2,2,10,8,NA,7,0,NA,2,0,0,5,14,2,12,NA,5,12,12,8,NA,28,5
"Ben Revere_LAA",NA,NA,NA,NA,NA,NA,NA,11,NA,NA,7,NA,NA,10,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,3,NA,5,NA,NA,NA,13,3,0,NA,8,18
"Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA,11,7,NA,0,NA,NA,NA,NA,0,NA,NA,7,NA,NA,0,NA,NA,NA,NA,NA
"Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trayce Thompson_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Toles_LAD",NA,8,NA,2,NA,NA,14,NA,NA,NA,17,NA,21,NA,0,NA,NA,NA,NA,5,NA,5,0,NA,2,NA,10,16,25,5,NA,6,NA,9,NA,NA,10
"Austin Barnes_LAD",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,14,NA,NA,0,NA,NA,NA,16,NA,NA,NA,NA,0,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5,NA,NA,11,NA,0,4,21,NA,17,NA,5,NA,0,21,7,3,3,NA,NA,17,21,4,12,NA,16,0
"Andrelton Simmons_LAA",NA,NA,7,12,NA,11,3,16,NA,2,7,3,2,0,NA,0,17,2,NA,3,23,6,7,3,11,0,3,3,5,NA,7,2,2,5,NA,2,2
"Rob Segedin_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2,0,NA,13,8,3,5,NA,2,2,NA,10,7,13,0,NA,3,10,9,8,17,0,NA,3,NA,10,9,NA,9,28
"Danny Espinosa_LAA",NA,NA,18,9,NA,2,5,2,NA,20,2,21,0,3,0,3,3,12,NA,10,0,NA,2,5,13,NA,2,0,0,NA,0,NA,4,0,NA,2,NA
"Andre Ethier_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Francisco Cervelli_PIT",NA,9,NA,3,NA,NA,5,NA,6,4,5,NA,NA,14,3,5,3,NA,NA,0,7,NA,0,2,9,NA,23,4,NA,NA,NA,NA,12,5,NA,NA,5
"David Freese_PIT",NA,8,NA,5,NA,NA,NA,NA,2,5,19,9,NA,0,2,2,8,3,NA,10,14,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordy Mercer_PIT",NA,5,NA,0,NA,NA,7,5,2,2,5,7,NA,NA,9,0,9,0,NA,18,7,4,0,3,5,NA,20,8,0,0,15,9,NA,4,NA,3,5
"Adam Frazier_PIT",NA,7,NA,3,NA,NA,5,13,2,NA,0,NA,NA,17,26,0,5,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Smolinski_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan LaMarre_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA
"John Jaso_PIT",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,NA,NA,5,NA,NA,NA,18,7,NA,12,0,0,NA,NA,0,NA
"Scott Van Slyke_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,NA,14,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danny Ortiz_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kike Hernandez_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kevin Newman_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bruce Maxwell_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA
"Jose Osuna_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0,20,NA,0,NA,20,NA,NA,2,13,NA,NA,0,NA,16,5
"Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA,3,NA,7,NA,NA,2,NA,0,0,NA,NA,5,3,4,NA,0,21,0,4,NA,3,NA,9,12,18,0,NA,NA,0
"Adam Rosales_OAK",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,3,2,NA,0,19,3,9,7,14,0,NA,3,6,0,2,NA,12,NA,0,9,5,6,NA,9,5
"Elias Diaz_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"Phil Gosselin_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Max Moroff_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martin Maldonado_LAA",NA,NA,9,5,NA,8,3,NA,NA,2,0,NA,5,2,NA,6,10,0,NA,7,NA,0,2,0,9,NA,3,0,14,NA,3,0,NA,19,NA,5,0
"Juan Graterol_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"Chad Pinder_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,NA,0,NA,NA,NA,NA,NA,NA,5,5,NA,NA,5,14,NA,NA,10,NA
"Gift Ngoepe_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaff Decker_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,7,6,2,0,NA,5,3,0,0,2,NA,NA,NA,NA,10,NA,NA,NA,0
"Carlos Perez_LAA",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Stewart_PIT",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,3,NA
"Brett Eibner_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"John Bormann_PIT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cliff Pennington_LAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,2
"Matt Olson_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
