"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18","2017-06-19","2017-06-20","2017-06-21","2017-06-22","2017-06-23","2017-06-24","2017-06-25","2017-06-26","2017-06-27","2017-06-29","2017-06-30","2017-07-01","2017-07-02","2017-07-03","2017-07-04","2017-07-05","2017-07-06","2017-07-07","2017-07-08","2017-07-14","2017-07-15","2017-07-17","2017-07-18","2017-07-19","2017-07-20","2017-07-21","2017-07-22","2017-07-23","2017-07-24","2017-07-25","2017-07-26","2017-07-27","2017-07-28","2017-07-29","2017-07-30","2017-07-31","2017-08-01","2017-08-02"
"Steven Souza_TB",2,NA,6,5,13,13,10,24,0,NA,7,0,25,5,4,NA,5,10,NA,3,10,16,4,9,0,NA,3,7,NA,2,5,0,NA,8,2,5,0,NA,NA,NA,NA,0,22,4,7,7,NA,4,5,2,NA,2,30,9,14,2,20,24,16,16,NA,4,0,3,NA,4,2,0,36,13,0,NA,6,16,16,5,7,23,17,4,17,NA,6,0,5,NA,7,0,25,24,5,NA,19,0,0,19,5,2,16,14,14,2,NA,NA,7,15,5,7,21,7,0,22,18,0,NA,NA
"George Springer_HOU",NA,NA,5,27,16,2,2,19,0,17,5,NA,3,22,NA,5,17,0,NA,9,2,NA,NA,NA,NA,NA,14,0,10,8,7,14,NA,9,5,7,NA,7,7,7,7,NA,7,2,NA,14,NA,0,3,2,4,2,5,2,6,21,18,10,10,42,NA,21,10,33,5,12,9,0,NA,6,20,0,16,14,NA,4,12,21,17,14,0,2,3,12,18,NA,25,2,10,0,12,NA,31,29,3,46,9,13,10,10,11,8,NA,16,8,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alex Bregman_HOU",NA,NA,0,7,NA,5,3,0,3,8,12,NA,8,16,NA,8,0,9,NA,5,5,5,NA,3,2,7,5,3,NA,7,5,10,7,NA,3,9,NA,12,0,8,12,NA,0,5,NA,5,NA,5,0,14,3,0,27,0,0,5,NA,19,21,19,NA,0,2,2,NA,0,7,5,18,0,8,7,3,NA,NA,0,NA,5,10,23,9,0,14,0,12,NA,8,7,0,0,NA,NA,23,7,24,7,0,9,2,6,7,15,NA,5,16,4,28,10,NA,NA,0,3,14,25,16,5
"Kike Hernandez_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yasiel Puig_LAD",NA,11,0,17,NA,NA,8,0,2,NA,3,5,9,33,7,2,3,0,NA,0,7,0,3,7,8,0,NA,14,0,0,21,2,NA,13,5,NA,17,8,3,2,9,NA,19,2,0,12,22,4,NA,NA,NA,0,0,12,0,0,NA,12,4,NA,3,10,22,NA,4,5,0,NA,NA,12,4,NA,24,3,NA,4,30,0,NA,14,20,2,NA,7,NA,6,NA,17,5,NA,8,NA,0,NA,5,17,3,32,4,NA,0,15,0,4,15,NA,13,13,14,NA,NA,0,8,NA,17,10
"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0,NA,NA,5,3,10,0,NA,29,8,0,2,NA,9,5,8,2,5,33,NA,NA,8,14,0,3,2,7,3,0,5,21,15,20,0,2,4,NA,NA,NA,17,11,2,4,NA,NA,12,5,NA,3,14,2,25,22,10,NA,0,5,2,NA,14,2,NA,9,21,21,10,8,6,NA,9,NA,5,8,NA,23,6,2,11,20,11,0,0,13,NA,8,7,2,14,NA,4,8,0,5,2,17,11,20,18,5,2,3,16,8,NA,8,8,NA,11,11,10
"Jake Marisnick_HOU",NA,NA,NA,0,0,NA,5,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,5,NA,NA,12,NA,0,NA,0,NA,39,6,NA,NA,NA,NA,NA,13,0,NA,14,7,NA,NA,NA,7,NA,NA,NA,0,NA,NA,7,NA,5,NA,NA,NA,NA,18,NA,0,NA,14,18,6,7,NA,NA,0,2,NA,13,3,NA,3,NA,NA,NA,7,0,NA,NA,NA,NA,21,NA,0,NA,NA,0,9,NA,NA,NA,NA,NA,3,NA,45,0,0
"Corey Dickerson_TB",5,NA,NA,19,8,NA,7,16,0,NA,7,6,7,NA,17,NA,0,14,NA,14,10,2,19,NA,3,NA,21,6,4,7,6,NA,3,3,0,5,15,8,21,3,9,NA,23,4,28,21,NA,8,38,8,14,0,7,9,5,NA,18,17,10,7,NA,8,14,0,NA,7,13,3,18,0,13,NA,27,12,3,0,2,16,0,21,9,NA,14,16,8,NA,8,2,4,7,0,NA,2,9,NA,5,0,0,23,3,0,6,NA,22,0,2,2,NA,4,17,0,3,9,32,4,6
"Mike Moustakas_KC",NA,14,NA,NA,NA,7,NA,17,0,NA,7,7,20,14,NA,NA,3,8,3,NA,5,14,7,21,0,NA,3,NA,3,5,NA,9,5,3,2,0,NA,19,0,7,7,8,20,NA,3,10,18,NA,NA,5,0,16,0,NA,19,22,0,4,3,NA,NA,14,16,3,12,31,2,5,5,7,32,NA,10,NA,12,3,0,11,3,14,3,NA,0,0,NA,NA,3,3,16,3,NA,14,16,24,NA,7,0,6,0,0,6,5,17,16,28,3,16,2,17,NA,18,0,NA,3,2,0
"Eric Hosmer_KC",NA,0,NA,NA,NA,3,16,3,2,NA,5,2,5,7,3,NA,5,7,4,5,0,6,0,3,14,NA,9,NA,5,16,3,12,10,24,5,6,25,11,5,0,10,14,10,NA,5,7,4,11,NA,12,5,0,2,NA,12,0,10,16,5,8,NA,7,12,3,10,17,0,0,10,19,23,NA,7,NA,13,0,3,6,20,0,11,NA,0,14,8,NA,8,3,18,16,14,6,14,15,NA,3,6,3,0,17,10,2,25,NA,4,17,0,7,49,NA,13,7,8,12,3,5
"Mike Zunino_SEA",NA,NA,3,5,NA,3,5,NA,7,NA,3,NA,0,5,NA,0,NA,11,9,NA,0,5,NA,10,5,NA,0,0,NA,NA,2,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0,2,0,NA,10,8,12,NA,2,34,10,NA,5,34,2,2,NA,3,22,12,20,NA,6,NA,NA,34,3,4,0,23,NA,0,NA,2,NA,14,NA,0,3,NA,14,0,0,0,7,NA,23,NA,7,4,0,14,NA,0,16,NA,NA,21,0,6,NA,9,0
"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,NA,13,3,0,2,NA,7,NA,5,NA,14,NA,5,7,0,5,0,0,6,0,NA,23,7,5,10,NA,5,14,8,10,NA,3,5,17,3,NA,11,9,8,33,10,5,NA,7,11,9,0,16,3,0,0,14,0,NA,19,NA,10,3,0,NA,10,4,5,NA,14,4,0,NA,7,NA,5,8,32,15,14,12,NA,7,12,10,5,7,11,6,19,16,9,30,0,17,15,NA,3,25,5,0,5,3
"Elvis Andrus_TEX",NA,NA,2,17,NA,7,0,5,NA,21,19,17,11,0,3,3,20,0,0,NA,5,5,8,0,14,NA,12,3,2,12,18,2,19,18,0,3,4,7,3,5,0,19,19,NA,0,6,11,4,5,NA,NA,0,2,14,17,5,20,18,32,21,NA,3,28,12,NA,3,3,NA,5,15,14,4,0,NA,NA,12,NA,2,12,5,3,19,13,12,9,39,0,3,18,20,12,7,3,NA,NA,NA,10,5,0,0,0,0,2,22,24,0,3,15,5,NA,21,3,2,5,5,24
"Josh Reddick_HOU",NA,NA,3,5,NA,3,NA,5,0,8,18,NA,0,NA,NA,13,0,33,NA,2,NA,0,NA,12,4,10,8,3,2,2,NA,20,9,19,0,7,NA,19,NA,7,NA,NA,10,9,10,0,NA,14,2,5,6,14,NA,4,5,NA,10,15,8,NA,NA,5,4,NA,5,22,3,7,8,7,11,0,NA,NA,NA,NA,NA,NA,NA,12,NA,35,13,18,NA,NA,NA,14,7,NA,9,NA,30,18,NA,11,3,10,3,5,5,NA,NA,5,10,2,17,7,5,NA,22,5,3,NA,3,5
"Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA,7,18,2,4,NA,NA,8,NA,NA,2,0,2,NA,NA,2,NA,NA,NA,12,19,NA,NA,18,NA,36,23,26,5,5,NA,NA,NA,3,NA,5,NA,NA,NA,14,2,NA,NA,NA,21,8,7,2,18,NA,8,14,19,4,25,NA,NA,13,5,9,NA,NA,NA,10,3,2,NA,0,15,NA,NA,5,0,3,NA,NA,21,10,NA,NA,NA,3,3,8,8,16,NA,16,14,14,9,14,24,5,NA,5,5,NA,8,NA,12,7,15,5,NA,14,5,0,NA,7,7
"Freddie Freeman_ATL",NA,14,NA,2,0,NA,5,43,NA,5,16,NA,12,5,8,40,10,23,0,14,16,4,NA,NA,10,16,16,22,16,11,20,5,NA,4,0,25,NA,0,16,NA,11,14,6,20,23,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,16,23,11,19,0,5,5,0,12,17,4,7,5,9,10,NA,3,9,0,16,2,15
"Carlos Beltran_HOU",NA,NA,0,6,3,10,10,NA,3,8,14,NA,5,2,NA,0,3,NA,NA,19,0,9,NA,0,2,NA,9,5,NA,0,15,0,NA,14,7,0,NA,21,9,0,3,NA,12,NA,4,NA,NA,5,0,20,5,0,0,NA,14,NA,9,33,2,NA,NA,5,24,11,0,18,7,NA,0,5,0,4,NA,11,NA,NA,23,7,0,21,NA,4,10,7,2,NA,NA,0,2,2,12,NA,NA,NA,14,5,NA,12,3,19,2,0,NA,7,7,NA,7,NA,6,NA,8,5,NA,14,21,0
"Justin Turner_LAD",NA,19,3,13,NA,NA,0,16,2,NA,NA,7,14,11,6,7,7,NA,NA,7,8,5,3,8,11,7,15,NA,13,0,11,2,NA,10,13,NA,5,5,6,3,0,10,8,NA,8,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,6,NA,8,9,NA,12,NA,23,33,2,NA,14,15,8,18,0,NA,8,28,16,4,NA,19,7,6,NA,4,3,4,NA,5,10,4,5,NA,3,8,0,9,NA,5,4,7,NA,3,NA
"Joc Pederson_LAD",NA,22,NA,2,NA,NA,2,NA,5,NA,2,NA,5,NA,2,NA,7,NA,NA,12,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,19,3,0,5,12,NA,4,7,0,0,9,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,NA,23,16,7,5,15,12,NA,NA,16,15,2,18,18,NA,NA,7,NA,NA,0,NA,7,19,12,12,NA,0,NA,0,NA,3,2,14,13,14,NA,12,0,NA,NA,4,2
"Robinson Cano_SEA",NA,NA,7,2,3,3,3,27,11,7,7,NA,2,2,3,23,2,14,5,0,22,14,NA,5,9,0,16,7,7,NA,15,16,2,23,5,3,NA,21,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,10,0,0,21,7,19,0,8,13,0,0,NA,29,0,3,7,3,6,5,8,9,NA,2,NA,15,2,2,11,36,0,5,11,NA,3,NA,37,0,20,0,0,5,10,9,0,23,4,2,5,4,13,9,19,5,0,8,NA,NA,2,0,12,7,20,10
"Carlos Gomez_TEX",NA,NA,0,4,NA,20,0,2,NA,0,16,14,6,2,2,20,0,2,5,3,9,5,8,2,17,NA,2,36,12,0,5,NA,14,2,3,2,7,6,0,8,14,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,16,7,14,NA,39,0,25,0,2,NA,0,13,5,3,17,7,19,NA,0,4,7,6,4,2,3,7,3,0,19,3,0,NA,NA,7,8,5,19,3,13
"Eduardo Escobar_MIN",NA,NA,NA,NA,NA,9,3,NA,NA,NA,0,NA,NA,7,NA,5,NA,NA,NA,NA,3,0,NA,NA,16,NA,NA,NA,NA,NA,NA,10,16,3,0,4,NA,5,NA,27,NA,NA,NA,NA,0,NA,NA,NA,NA,0,13,NA,NA,NA,NA,3,0,NA,NA,0,NA,NA,NA,14,NA,6,NA,NA,0,NA,26,NA,23,17,NA,NA,3,11,NA,9,8,3,0,0,5,0,14,3,3,5,6,12,9,5,17,NA,0,NA,NA,NA,NA,7,NA,NA,9,16,4,5,3,NA,NA,8,21,NA,7,7
"Brian Dozier_MIN",NA,7,NA,NA,NA,2,8,5,NA,NA,14,13,15,NA,14,0,5,NA,NA,3,10,11,14,6,7,NA,0,NA,10,NA,28,13,4,0,NA,NA,NA,NA,NA,16,3,7,5,NA,14,NA,NA,3,NA,10,15,14,NA,NA,5,20,16,7,0,17,0,7,3,0,NA,16,9,3,10,16,16,15,23,0,NA,3,5,NA,NA,0,17,0,15,16,2,3,3,10,3,NA,5,NA,NA,7,0,15,2,25,19,6,16,11,NA,3,5,23,0,2,12,NA,7,3,14,NA,0,NA
"Joey Gallo_TEX",NA,NA,19,4,NA,4,0,25,NA,2,16,12,5,5,0,4,0,16,7,30,2,18,12,14,15,NA,0,0,8,2,14,0,23,0,14,NA,0,25,2,NA,20,8,2,NA,0,9,2,16,2,NA,NA,21,5,0,5,3,16,23,10,0,NA,NA,0,7,NA,16,0,NA,7,NA,2,12,0,16,NA,NA,NA,0,2,NA,28,0,0,NA,NA,20,2,2,21,NA,NA,4,NA,3,NA,NA,NA,0,NA,2,2,14,NA,7,0,22,NA,32,9,NA,3,0,5,0,34,14
"Evan Longoria_TB",21,NA,7,2,7,20,5,0,5,NA,6,3,9,5,0,NA,2,19,NA,14,14,2,5,4,3,NA,14,0,0,NA,NA,2,5,15,16,0,8,5,10,0,23,0,14,10,0,0,NA,20,19,2,3,0,5,9,0,0,29,20,4,12,NA,3,9,0,NA,7,10,5,0,19,5,NA,20,5,3,0,0,22,0,5,NA,NA,17,17,18,NA,3,2,6,12,0,NA,5,7,7,6,12,19,5,19,0,10,NA,0,10,3,3,7,24,17,0,2,10,0,36,0
"Evan Gattis_HOU",NA,NA,2,14,NA,3,NA,16,0,NA,NA,NA,NA,0,NA,5,NA,8,NA,NA,18,NA,NA,9,16,5,19,3,7,NA,5,NA,5,NA,NA,14,NA,NA,2,NA,2,NA,NA,4,NA,5,NA,NA,3,2,5,NA,2,12,6,5,2,NA,NA,33,NA,NA,NA,2,NA,7,NA,5,NA,NA,3,NA,2,NA,NA,0,NA,0,12,NA,9,11,NA,NA,16,NA,5,8,NA,19,NA,NA,NA,9,NA,25,3,NA,2,NA,28,3,NA,NA,13,0,NA,0,NA,NA,NA,22,3,9,5,NA
"Austin Barnes_LAD",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,14,NA,NA,0,NA,NA,NA,16,NA,NA,NA,NA,0,NA,NA,NA,NA,6,NA,NA,NA,8,NA,NA,NA,NA,11,NA,16,NA,NA,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,5,NA,NA,0,3,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,18,16,NA,7,NA,0,NA,38,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,NA,NA,NA,NA,10,NA,0,NA,NA,NA
"Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,10,NA,NA,3,NA,7,NA,0,14,NA,10,NA,NA,NA,10,NA,32,5,4,3,4,5,3,15,19,2,NA,22,4,NA,NA,NA,3,15,0,16,10,4,14,3,5,NA,44,0,7,8,0,NA,14,0,2,NA,14,24,NA,7,11,NA,22,2,0,4,3,NA,20,5,5,NA,10,27,3,NA,17,5,18,3,0,8,13,NA,21,28,10,0,NA,6,13,16,5,NA,9,5,0,NA,7,9
"Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,14,NA,21,12,3,NA,9,NA,NA,NA,10,0,10,0,0,NA,17,NA,3,13,18,0,16,0,10,16,23,17,3,4,9,6,4,11,11,NA,23,16,23,0,6,0,5,10,3,5,13,12,4,30,NA,12,3,9,5,4,5
"Miguel Sano_MIN",NA,20,NA,NA,NA,7,2,21,NA,NA,2,26,4,11,0,5,14,NA,NA,6,5,7,0,24,9,NA,27,NA,28,NA,20,9,2,17,3,2,NA,NA,NA,20,16,6,7,NA,0,NA,NA,6,NA,16,31,0,NA,NA,0,NA,NA,18,NA,NA,19,10,3,19,NA,10,20,5,0,0,7,0,NA,19,NA,5,3,0,NA,25,18,0,NA,NA,2,0,0,0,7,18,8,19,3,3,7,7,19,8,7,5,21,18,NA,10,7,2,7,NA,NA,NA,3,16,3,NA,3,19
"Ronald Guzman_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Logan Morrison_TB",24,NA,NA,8,5,NA,0,0,14,NA,NA,7,27,3,NA,NA,5,2,NA,14,6,2,7,4,9,NA,16,NA,9,NA,19,NA,3,NA,27,0,0,16,22,5,0,14,3,11,3,16,NA,11,11,NA,14,5,11,0,20,7,23,2,4,23,NA,0,14,NA,NA,0,14,4,18,3,5,NA,21,16,14,4,2,34,5,9,9,NA,30,7,3,NA,3,6,6,34,5,NA,NA,6,13,6,0,0,18,5,6,10,NA,2,4,2,2,NA,5,0,NA,NA,NA,6,19,18
