"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18","2017-06-19","2017-06-20","2017-06-21","2017-06-22","2017-06-23","2017-06-24","2017-06-25","2017-06-26","2017-06-27","2017-06-29","2017-06-30","2017-07-01","2017-07-02","2017-07-03","2017-07-04","2017-07-05","2017-07-06","2017-07-07","2017-07-08","2017-07-14","2017-07-15"
"Mike Moustakas_KC",NA,14,NA,NA,NA,7,NA,17,0,NA,7,7,20,14,NA,NA,3,8,3,NA,5,14,7,21,0,NA,3,NA,3,5,NA,9,5,3,2,0,NA,19,0,7,7,8,20,NA,3,10,18,NA,NA,5,0,16,0,NA,19,22,0,4,3,NA,NA,14,16,3,12,31,2,5,5,7,32,NA,10,NA,12,3,0,11,3,14,3,NA,0,0,NA,NA,3,3,16,3,NA,14,16,24,NA,7,0,6,0
"Jean Segura_SEA",NA,NA,0,19,13,7,13,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,19,3,5,0,7,NA,12,28,16,11,13,10,NA,15,3,14,3,8,8,9,5,9,22,0,2,NA,NA,6,0,10,16,0,10,6,17,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,8,3,0,NA,18,NA,9,0,20,0,16,26,14,5,14,12,11
"Brett Gardner_NYY",3,NA,9,5,NA,27,10,2,17,NA,NA,NA,6,9,0,NA,2,7,NA,4,NA,2,NA,NA,5,NA,3,32,3,3,37,12,NA,20,12,8,20,5,NA,NA,3,NA,26,NA,4,17,NA,11,0,21,14,NA,5,NA,2,2,9,8,28,9,12,2,14,5,NA,2,12,19,8,5,9,9,5,8,5,NA,4,15,NA,0,4,12,22,NA,0,2,NA,8,36,10,0,5,2,11,NA,8,0,9,7
"Max Kepler_MIN",NA,5,NA,NA,NA,0,3,0,NA,NA,7,27,7,17,8,5,7,NA,NA,4,2,16,NA,5,NA,NA,9,NA,16,NA,12,4,NA,3,0,NA,NA,9,NA,NA,0,16,6,NA,NA,NA,NA,7,NA,8,32,5,NA,NA,0,8,4,7,5,8,5,21,19,3,NA,5,3,0,4,0,NA,7,28,0,NA,0,3,3,NA,NA,8,0,7,NA,0,NA,0,0,4,12,NA,31,5,2,11,12,NA,4,8
"Eduardo Escobar_MIN",NA,NA,NA,NA,NA,9,3,NA,NA,NA,0,NA,NA,7,NA,5,NA,NA,NA,NA,3,0,NA,NA,16,NA,NA,NA,NA,NA,NA,10,16,3,0,4,NA,5,NA,27,NA,NA,NA,NA,0,NA,NA,NA,NA,0,13,NA,NA,NA,NA,3,0,NA,NA,0,NA,NA,NA,14,NA,6,NA,NA,0,NA,26,NA,23,17,NA,NA,3,11,NA,9,8,3,0,0,5,0,14,3,3,5,6,12,9,5,17,NA,0,NA,NA
"Evan Gattis_HOU",NA,NA,2,14,NA,3,NA,16,0,NA,NA,NA,NA,0,NA,5,NA,8,NA,NA,18,NA,NA,9,16,5,19,3,7,NA,5,NA,5,NA,NA,14,NA,NA,2,NA,2,NA,NA,4,NA,5,NA,NA,3,2,5,NA,2,12,6,5,2,NA,NA,33,NA,NA,NA,2,NA,7,NA,5,NA,NA,3,NA,2,NA,NA,0,NA,0,12,NA,9,11,NA,NA,16,NA,5,8,NA,19,NA,NA,NA,9,NA,25,3,NA,2
"JD Martinez_DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33,2,NA,42,7,NA,6,20,NA,0,5,NA,23,NA,4,0,18,0,11,NA,31,0,23,NA,5,5,5,11,0,12,NA,16,3,10,14,2,0,4,17,12,7,0,0,10,NA,24,7,NA,21,12,NA,0,7,5,5,7,3,30
"Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA,7,18,2,4,NA,NA,8,NA,NA,2,0,2,NA,NA,2,NA,NA,NA,12,19,NA,NA,18,NA,36,23,26,5,5,NA,NA,NA,3,NA,5,NA,NA,NA,14,2,NA,NA,NA,21,8,7,2,18,NA,8,14,19,4,25,NA,NA,13,5,9,NA,NA,NA,10,3,2,NA,0,15,NA,NA,5,0,3,NA,NA,21,10,NA,NA,NA,3,3,8,8,16,NA,16,14,14,9,14,24,5
"Eric Hosmer_KC",NA,0,NA,NA,NA,3,16,3,2,NA,5,2,5,7,3,NA,5,7,4,5,0,6,0,3,14,NA,9,NA,5,16,3,12,10,24,5,6,25,11,5,0,10,14,10,NA,5,7,4,11,NA,12,5,0,2,NA,12,0,10,16,5,8,NA,7,12,3,10,17,0,0,10,19,23,NA,7,NA,13,0,3,6,20,0,11,NA,0,14,8,NA,8,3,18,16,14,6,14,15,NA,3,6,3,0
"Justin Upton_DET",NA,NA,NA,NA,NA,NA,0,5,NA,NA,9,16,5,28,0,NA,3,NA,NA,7,21,13,NA,25,3,0,7,12,21,9,9,3,NA,7,4,3,NA,16,5,18,7,16,0,NA,6,5,NA,11,0,NA,NA,0,0,29,NA,6,7,5,0,14,NA,16,14,25,NA,5,21,3,5,7,28,NA,4,3,2,22,5,5,3,14,12,5,4,11,16,NA,0,21,NA,NA,NA,NA,21,0,16,2,3,8,16
"Robbie Grossman_MIN",NA,8,NA,NA,NA,12,NA,10,NA,NA,NA,24,2,16,5,8,7,NA,NA,11,7,3,2,NA,3,NA,0,NA,NA,NA,3,NA,NA,5,17,6,NA,NA,NA,6,NA,4,NA,NA,4,NA,NA,19,NA,0,14,0,NA,NA,NA,7,NA,25,2,0,8,27,4,4,NA,9,0,5,13,2,19,4,10,NA,NA,0,NA,NA,NA,7,6,3,NA,7,NA,5,NA,7,NA,10,5,NA,12,0,2,9,8,6,8
"Kennys Vargas_MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,19,5,NA,NA,NA,6,NA,NA,25,0,NA,5,16,NA,16,NA,NA,3,2,9,NA,0,NA,NA,NA,NA,3,NA,10,NA,NA,10,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,14,NA,5,24,0,NA,NA,NA,6,NA,18,5,NA,0,0,NA,2,NA,NA,NA,2,NA,5,NA,NA,NA,17,3,3,NA
"Alex Bregman_HOU",NA,NA,0,7,NA,5,3,0,3,8,12,NA,8,16,NA,8,0,9,NA,5,5,5,NA,3,2,7,5,3,NA,7,5,10,7,NA,3,9,NA,12,0,8,12,NA,0,5,NA,5,NA,5,0,14,3,0,27,0,0,5,NA,19,21,19,NA,0,2,2,NA,0,7,5,18,0,8,7,3,NA,NA,0,NA,5,10,23,9,0,14,0,12,NA,8,7,0,0,NA,NA,23,7,24,7,0,9,2
"Salvador Perez_KC",NA,3,NA,NA,NA,19,14,14,3,NA,5,5,16,0,6,NA,3,10,0,0,NA,NA,0,7,0,NA,21,NA,19,7,0,0,2,5,3,5,10,30,8,11,3,7,NA,NA,0,16,0,6,NA,18,6,5,0,NA,0,2,3,9,0,7,NA,0,7,NA,3,17,12,NA,19,16,5,NA,8,NA,10,5,NA,24,NA,0,28,NA,12,0,5,NA,7,0,5,NA,5,3,11,16,NA,3,19,0,0
"Matt Holliday_NYY",0,NA,9,3,NA,25,6,10,12,NA,2,2,0,NA,NA,18,0,7,NA,NA,NA,NA,NA,NA,4,10,32,0,19,0,15,18,NA,NA,NA,11,23,NA,NA,3,5,NA,13,NA,2,6,2,21,2,0,10,6,5,NA,0,18,4,0,28,7,13,11,14,9,NA,7,5,10,10,30,15,6,0,7,NA,4,NA,14,NA,7,21,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16
"Clint Frazier_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,10,31,NA,0
"Carlos Beltran_HOU",NA,NA,0,6,3,10,10,NA,3,8,14,NA,5,2,NA,0,3,NA,NA,19,0,9,NA,0,2,NA,9,5,NA,0,15,0,NA,14,7,0,NA,21,9,0,3,NA,12,NA,4,NA,NA,5,0,20,5,0,0,NA,14,NA,9,33,2,NA,NA,5,24,11,0,18,7,NA,0,5,0,4,NA,11,NA,NA,23,7,0,21,NA,4,10,7,2,NA,NA,0,2,2,12,NA,NA,NA,14,5,NA,12,3
"Brian McCann_HOU",NA,NA,14,NA,3,NA,17,7,NA,4,6,NA,16,NA,NA,NA,6,3,NA,15,NA,9,NA,0,16,7,NA,0,14,3,NA,18,4,23,8,NA,NA,0,NA,2,21,NA,0,NA,16,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,2,2,NA,NA,12,0,NA,25,NA,27,7,5,18,NA,0,3,16,NA,14,5,12,NA,9,3,NA,0,11,NA,NA,0,NA,3,NA,2,NA,2,NA,5,NA,3,18,NA
"Lorenzo Cain_KC",NA,9,NA,NA,NA,10,9,0,12,NA,13,17,12,6,2,NA,6,10,10,9,3,NA,0,6,0,NA,3,NA,14,4,0,15,11,5,10,7,17,14,6,NA,17,7,9,NA,0,8,0,3,NA,7,0,16,0,NA,10,5,3,4,5,7,NA,10,26,3,0,0,18,10,5,39,4,NA,5,NA,19,33,15,9,8,0,4,NA,7,0,6,NA,8,0,7,8,NA,2,0,20,NA,0,7,2,5
"Alex Avila_DET",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,21,NA,23,NA,0,NA,NA,NA,NA,16,NA,26,NA,2,4,NA,11,9,10,0,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,2,30,NA,0,NA,6,NA,NA,2,3,4,NA,14,NA,NA,21,NA,NA,21,5,9,NA,NA,NA,NA,4,7,5,19,8,10,4,NA,NA,7,5,8,NA,NA,NA,4,NA,4,9,NA,3,NA,4,8,3,3,NA
"Jorge Bonifacio_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,5,8,NA,5,NA,3,21,2,2,0,8,NA,0,NA,9,NA,12,NA,2,NA,NA,8,NA,5,21,NA,16,14,16,0,NA,16,7,14,0,8,5,NA,10,12,2,17,2,5,2,0,4,NA,NA,14,NA,0,5,0,5,5,16,4,NA,5,6,21,NA,10,5,7,7,2,NA,14,3,NA,NA,8,10,3
"Chase Headley_NYY",13,NA,24,10,NA,0,6,4,21,NA,10,3,15,9,14,9,NA,16,NA,5,7,0,NA,NA,12,5,13,0,7,NA,8,9,NA,5,9,0,4,NA,NA,5,0,NA,NA,NA,8,9,0,NA,11,0,0,5,0,NA,0,NA,NA,5,8,4,10,0,0,8,NA,2,12,3,8,9,NA,5,26,8,14,3,2,2,NA,4,11,NA,NA,NA,11,15,0,NA,5,2,7,18,3,0,NA,2,7,12,8
"Didi Gregorius_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14,13,0,4,NA,NA,3,10,0,7,22,NA,3,8,NA,5,NA,14,14,7,0,0,16,19,0,21,NA,2,0,5,3,9,NA,7,3,21,3,NA,6,19,6,5,21,8,18,5,3,5,NA,0,17,NA,0,16,0,3,3,5,NA,6,2,12,28,2,6,0,9,NA,7,4,0,NA
"Eddie Rosario_MIN",NA,3,NA,NA,NA,0,5,0,NA,NA,5,5,3,NA,2,8,6,NA,NA,18,5,14,3,10,5,NA,8,NA,5,NA,6,10,18,15,0,7,NA,5,NA,0,0,NA,5,NA,3,NA,NA,0,NA,0,NA,NA,NA,NA,7,17,14,3,NA,26,7,5,2,0,NA,NA,5,NA,NA,0,3,NA,49,0,NA,16,10,8,NA,12,NA,NA,7,NA,24,0,11,NA,0,28,3,2,12,8,2,13,3,NA,12
"Kyle Seager_SEA",NA,NA,5,8,5,0,7,2,10,5,7,NA,8,9,7,2,0,20,0,5,NA,NA,NA,NA,NA,12,0,16,5,NA,2,5,10,5,6,21,NA,12,8,3,3,0,3,16,14,5,0,0,3,NA,NA,6,7,7,7,0,10,9,32,8,3,0,0,7,NA,25,16,6,14,10,0,12,7,0,NA,0,NA,25,2,9,2,0,25,5,0,NA,0,NA,23,0,0,4,0,NA,7,4,3,5,14
"Brandon Moss_KC",NA,0,NA,NA,NA,8,NA,14,2,NA,0,2,5,14,NA,NA,11,NA,0,NA,5,0,0,16,NA,NA,14,NA,8,2,NA,5,NA,2,0,NA,NA,7,0,NA,14,14,12,NA,NA,5,NA,NA,NA,31,0,NA,5,NA,18,6,0,NA,0,NA,NA,3,7,0,7,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,NA,6,NA,NA,NA,NA,7,0,NA,NA,0,NA,NA,10,0,NA,7,NA,NA,NA,NA,NA,3
"Andrew Romine_DET",NA,NA,NA,NA,NA,NA,NA,12,12,NA,23,0,NA,0,0,NA,NA,7,NA,0,NA,6,NA,15,0,NA,NA,3,NA,NA,9,NA,NA,13,18,7,NA,8,0,18,0,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA,7,15,10,NA,4,NA,NA,10,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,NA,NA,5,NA,4,NA,NA,NA,3,14,NA,NA,NA,16,NA,0,5,NA,NA,NA,NA,NA,NA,19,NA
"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,NA,13,3,0,2,NA,7,NA,5,NA,14,NA,5,7,0,5,0,0,6,0,NA,23,7,5,10,NA,5,14,8,10,NA,3,5,17,3,NA,11,9,8,33,10,5,NA,7,11,9,0,16,3,0,0,14,0,NA,19,NA,10,3,0,NA,10,4,5,NA,14,4,0,NA,7,NA,5,8,32,15,14,12,NA,7,12,10,5
"Joe Mauer_MIN",NA,6,NA,NA,NA,NA,5,5,NA,NA,7,7,0,7,3,6,5,NA,NA,4,NA,3,3,10,NA,NA,9,NA,2,NA,16,9,NA,23,3,NA,NA,10,NA,7,3,8,5,NA,NA,NA,NA,7,NA,11,21,0,NA,NA,7,7,33,10,3,NA,4,27,5,0,NA,8,7,5,2,NA,7,9,5,5,NA,0,7,2,NA,14,NA,6,3,14,8,NA,3,10,2,11,0,23,7,NA,NA,NA,NA,NA,3
"Aaron Hicks_NYY",NA,NA,NA,NA,NA,NA,11,3,NA,NA,8,32,NA,8,21,2,NA,NA,NA,NA,18,NA,NA,NA,NA,10,NA,NA,3,NA,19,10,NA,16,38,16,14,NA,NA,13,0,NA,5,NA,NA,23,0,NA,2,NA,0,16,NA,NA,7,2,14,5,10,9,34,8,9,3,NA,10,2,5,30,11,17,7,5,8,0,NA,NA,NA,NA,4,7,5,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Byron Buxton_MIN",NA,0,NA,NA,NA,0,5,0,NA,NA,NA,10,0,7,2,NA,0,NA,NA,3,3,NA,6,17,7,NA,4,NA,14,NA,16,10,0,NA,NA,5,NA,15,NA,0,0,0,3,NA,14,NA,NA,2,NA,4,10,7,NA,NA,0,NA,3,0,NA,10,0,11,0,NA,NA,10,0,8,5,NA,17,0,NA,34,NA,0,5,0,NA,10,7,0,5,0,2,0,5,0,2,NA,4,2,27,13,8,7,5,9,NA
"Ben Gamel_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,21,2,5,NA,6,12,25,3,12,2,NA,37,14,2,0,12,0,6,0,13,6,2,5,NA,NA,0,3,NA,0,NA,3,12,NA,7,7,8,11,3,NA,3,5,2,10,3,16,16,14,15,NA,18,NA,8,3,24,10,11,19,0,NA,NA,2,NA,20,0,4,0,NA,10,0,3,7,3,5
"Yuli Gurriel_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,19,9,NA,17,0,13,NA,10,6,0,26,3,4,9,0,NA,7,3,3,0,NA,2,5,0,NA,NA,8,25,5,0,NA,0,0,NA,3,16,4,NA,3,0,16,NA,5,11,NA,9,NA,21,22,18,3,7,NA,5,14,0,3,6,NA,5,7,10,NA,9,8,8,0,8,16,NA,3,NA,0,28,28,NA,23,6,0,NA,3,7,10
"Miguel Cabrera_DET",NA,NA,NA,NA,NA,NA,2,6,0,NA,0,18,25,12,5,NA,14,19,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3,NA,8,5,7,NA,11,2,5,3,0,0,NA,18,NA,NA,NA,16,NA,2,5,5,12,NA,4,7,18,2,9,NA,23,8,2,NA,5,2,7,0,5,10,NA,14,8,23,11,14,2,0,2,7,19,2,0,3,NA,18,6,NA,16,2,NA,5,8,5,5,3,0,28
"Nicholas Castellanos_DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Starlin Castro_NYY",11,NA,0,0,NA,6,8,7,16,NA,8,7,19,2,6,17,7,20,NA,6,20,3,NA,NA,2,8,24,5,11,8,10,8,NA,6,30,6,NA,7,NA,3,0,NA,25,NA,8,21,7,8,5,0,2,5,0,NA,3,5,5,4,8,6,4,16,21,0,NA,5,13,12,16,25,25,8,2,7,22,8,3,0,NA,5,7,5,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"Jarrod Dyson_SEA",NA,NA,5,8,5,2,2,NA,9,7,9,NA,13,2,NA,13,0,7,12,3,11,9,NA,5,18,0,3,0,NA,NA,5,13,9,2,NA,6,NA,0,16,0,5,19,14,0,10,NA,31,0,0,NA,NA,0,3,NA,NA,11,8,4,7,4,NA,7,10,13,NA,4,NA,10,15,10,NA,NA,21,8,NA,14,NA,8,13,0,5,NA,14,2,8,NA,7,NA,14,0,NA,2,NA,9,8,NA,23,5,0
"Jacoby Ellsbury_NYY",2,NA,10,20,NA,3,5,NA,7,NA,10,4,13,11,2,6,5,5,NA,23,7,17,NA,NA,2,0,24,2,NA,10,NA,NA,NA,NA,NA,21,11,2,NA,10,3,NA,NA,NA,5,NA,8,12,5,7,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,19,7,7,0,7,0,5,NA,NA,9,0,NA
"Greg Bird_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheslor Cuthbert_KC",NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,5,NA,0,NA,NA,3,NA,NA,NA,NA,NA,0,NA,5,NA,NA,NA,0,NA,0,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,0,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
