"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Wei-Yin Chen","Joe Ross","Matt Wieters","Eric Hosmer","Cory Spangenberg","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Manuel Margot"
"Clayton Kershaw","Erasmo Ramirez","Chris Iannetta","Paul Goldschmidt","Brandon Drury","Mike Moustakas","Trea Turner","AJ Pollock","Yasmany Tomas","Jabari Blash"
"Scott Feldman","Patrick Corbin","Stephen Vogt","Paul Goldschmidt","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Lorenzo Cain"
"Clayton Kershaw","Scott Feldman","Austin Hedges","Wil Myers","Yangervis Solarte","Miguel Sano","Jorge Polanco","Manuel Margot","Mitch Haniger","Jabari Blash"
"Clayton Kershaw","Scott Feldman","Austin Hedges","Paul Goldschmidt","Cory Spangenberg","Manny Machado","Chris Owings","Manuel Margot","Hunter Renfroe","Jabari Blash"
"Danny Duffy","Wei-Yin Chen","Salvador Perez","Eric Hosmer","Christian Colon","Mike Moustakas","Trea Turner","Bryce Harper","Lorenzo Cain","Hunter Renfroe"
"Clayton Kershaw","Wade Miley","Stephen Vogt","Yonder Alonso","Jed Lowrie","Mike Moustakas","Trea Turner","Bryce Harper","Khris Davis","Jaff Decker"
"Clayton Kershaw","JC Ramirez","Salvador Perez","Eric Thames","Christian Colon","Mike Moustakas","Trea Turner","Bryce Harper","Brandon Moss","Jorge Bonifacio"
"Clayton Kershaw","Erasmo Ramirez","Austin Hedges","Eric Hosmer","Jonathan Villar","Mike Moustakas","Alcides Escobar","Bryce Harper","Alex Gordon","Brandon Moss"
"Clayton Kershaw","Scott Feldman","Austin Hedges","Wil Myers","Cory Spangenberg","Joey Gallo","Erick Aybar","Bryce Harper","Hunter Renfroe","Jaff Decker"
"Clayton Kershaw","Michael Wacha","Salvador Perez","Eric Hosmer","Daniel Murphy","Mike Moustakas","Alcides Escobar","Lorenzo Cain","Mitch Haniger","Jaff Decker"
"Robert Gsellman","Erasmo Ramirez","Matt Wieters","Wil Myers","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Lorenzo Cain","Hunter Renfroe"
"Wade Miley","Michael Wacha","Chris Iannetta","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Lorenzo Cain","Jabari Blash"
"Clayton Kershaw","JC Ramirez","Austin Hedges","Wil Myers","Daniel Murphy","Manny Machado","Erick Aybar","AJ Pollock","Manuel Margot","Jabari Blash"
"Danny Duffy","JC Ramirez","Matt Wieters","Ryan Zimmerman","Cory Spangenberg","Mike Moustakas","Trea Turner","Bryce Harper","Adam Eaton","Jabari Blash"
"Marco Estrada","Michael Wacha","Austin Hedges","Wil Myers","Yangervis Solarte","Anthony Rendon","Jean Segura","Bryce Harper","Manuel Margot","Hunter Renfroe"
"Clayton Kershaw","Scott Feldman","Salvador Perez","Eric Hosmer","Christian Colon","Mike Moustakas","Alcides Escobar","Bryce Harper","Manuel Margot","Yasiel Puig"
"Wei-Yin Chen","Scott Feldman","Salvador Perez","Eric Hosmer","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Jayson Werth","Jabari Blash"
"Danny Duffy","Erasmo Ramirez","Salvador Perez","Ryan Zimmerman","Daniel Murphy","Mike Moustakas","Trea Turner","Bryce Harper","Jayson Werth","Jaff Decker"
"Danny Duffy","Wade Miley","Austin Hedges","Paul Goldschmidt","Cory Spangenberg","Anthony Rendon","Erick Aybar","Bryce Harper","Manuel Margot","Hunter Renfroe"
"Clayton Kershaw","Wade Miley","Salvador Perez","Wil Myers","Jed Lowrie","Mike Moustakas","Alcides Escobar","Lorenzo Cain","Alex Gordon","Manuel Margot"
"Wade Miley","JC Ramirez","Matt Wieters","Eric Thames","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Billy Hamilton","Max Kepler"
"Robert Gsellman","Wade Miley","Salvador Perez","Josh Bell","Cory Spangenberg","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Jayson Werth"
"Danny Duffy","Michael Wacha","Salvador Perez","Wil Myers","Daniel Murphy","Mike Moustakas","Trea Turner","Lorenzo Cain","Brandon Moss","Jorge Bonifacio"
"Clayton Kershaw","Scott Feldman","Salvador Perez","Wil Myers","Christian Colon","Mike Moustakas","Chris Owings","AJ Pollock","Lorenzo Cain","Brandon Moss"
"Clayton Kershaw","Wei-Yin Chen","Austin Hedges","Wil Myers","Chris Taylor","Travis Shaw","Aledmys Diaz","Manuel Margot","Hunter Renfroe","Jabari Blash"
"Michael Wacha","Erasmo Ramirez","Matt Wieters","Ryan Zimmerman","Brian Dozier","Anthony Rendon","Trea Turner","Bryce Harper","AJ Pollock","Manuel Margot"
"Clayton Kershaw","Wade Miley","Austin Hedges","Paul Goldschmidt","Yangervis Solarte","Joey Gallo","Erick Aybar","Max Kepler","Manuel Margot","Jabari Blash"
"Danny Duffy","Michael Wacha","Salvador Perez","Eric Hosmer","Yangervis Solarte","Mike Moustakas","Alcides Escobar","Bryce Harper","Adam Eaton","Brandon Moss"
"Clayton Kershaw","Michael Wacha","Austin Hedges","Eric Thames","Yangervis Solarte","Travis Shaw","Erick Aybar","AJ Pollock","Manuel Margot","Hunter Renfroe"
"Clayton Kershaw","JC Ramirez","Jason Castro","Joe Mauer","Brian Dozier","Mike Moustakas","Jorge Polanco","AJ Pollock","Max Kepler","Manuel Margot"
"Clayton Kershaw","Patrick Corbin","Salvador Perez","Eric Hosmer","Daniel Murphy","Mike Moustakas","Chris Owings","Max Kepler","Brandon Moss","Jorge Bonifacio"
"Gerrit Cole","Robert Gsellman","Austin Hedges","Wil Myers","Yangervis Solarte","Miguel Sano","Trea Turner","Adam Eaton","Manuel Margot","Hunter Renfroe"
"Wade Miley","JC Ramirez","Yasmani Grandal","Ryan Zimmerman","Brian Dozier","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Hunter Renfroe"
"Robert Gsellman","JC Ramirez","Matt Wieters","Paul Goldschmidt","Jedd Gyorko","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","AJ Pollock"
"Danny Duffy","Wade Miley","Austin Hedges","Paul Goldschmidt","Brandon Drury","Mike Moustakas","Chris Owings","Bryce Harper","AJ Pollock","Yasmany Tomas"
"Clayton Kershaw","JC Ramirez","Austin Hedges","Wil Myers","Cory Spangenberg","Evan Longoria","Jorge Polanco","Charlie Blackmon","Hunter Renfroe","Jabari Blash"
"Wei-Yin Chen","Patrick Corbin","Matt Wieters","Ryan Zimmerman","Daniel Murphy","Mike Moustakas","Trea Turner","Bryce Harper","AJ Pollock","Brandon Moss"
"Ervin Santana","Joe Ross","Chris Iannetta","Eric Thames","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Hunter Renfroe"
"Clayton Kershaw","Erasmo Ramirez","Stephen Vogt","Wil Myers","Yangervis Solarte","Nolan Arenado","Jean Segura","Manuel Margot","Hunter Renfroe","Jabari Blash"
"Wade Miley","Michael Wacha","Jason Castro","Joe Mauer","Brian Dozier","Miguel Sano","Trea Turner","Bryce Harper","Max Kepler","Manuel Margot"
"Clayton Kershaw","Erasmo Ramirez","Jason Castro","Kennys Vargas","Brian Dozier","Mike Moustakas","Trea Turner","Max Kepler","Eddie Rosario","Jabari Blash"
"Clayton Kershaw","Wei-Yin Chen","Austin Hedges","Wil Myers","Cory Spangenberg","Matt Davidson","Erick Aybar","Lorenzo Cain","Manuel Margot","Mitch Haniger"
"Scott Feldman","JC Ramirez","Matt Wieters","Eric Hosmer","Daniel Murphy","Miguel Sano","Trea Turner","Bryce Harper","Adam Eaton","Carlos Gonzalez"
"Clayton Kershaw","Michael Wacha","Chris Iannetta","Eric Hosmer","Christian Colon","Mike Moustakas","Nick Ahmed","Bryce Harper","Lorenzo Cain","Brandon Moss"
"Wade Miley","Patrick Corbin","Salvador Perez","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Chris Owings","Bryce Harper","Adam Eaton","Max Kepler"
"Wade Miley","Patrick Corbin","Matt Wieters","Eric Hosmer","Brian Dozier","Mike Moustakas","Trea Turner","Bryce Harper","Adam Eaton","Jayson Werth"
"Danny Duffy","Marco Estrada","Austin Hedges","Eric Thames","Cory Spangenberg","Miguel Sano","Trea Turner","Manuel Margot","Hunter Renfroe","Jabari Blash"
"Clayton Kershaw","Wade Miley","Salvador Perez","Eric Hosmer","Christian Colon","Mike Moustakas","Taylor Motter","Billy Hamilton","Max Kepler","Lorenzo Cain"
"Michael Wacha","Joe Ross","Austin Hedges","Paul Goldschmidt","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Jayson Werth","Mitch Haniger"
"Danny Duffy","Wei-Yin Chen","Austin Hedges","Wil Myers","Daniel Murphy","Mike Moustakas","Erick Aybar","Adam Eaton","Manuel Margot","Hunter Renfroe"
"Clayton Kershaw","Robert Gsellman","Salvador Perez","Eric Hosmer","Brian Dozier","Mike Moustakas","Aledmys Diaz","Alex Gordon","Brandon Moss","Jaff Decker"
"Robert Gsellman","Michael Wacha","Stephen Vogt","Ryan Zimmerman","Yangervis Solarte","Mike Moustakas","Trea Turner","Bryce Harper","Adam Eaton","Jayson Werth"
"Clayton Kershaw","Michael Wacha","Austin Hedges","Paul Goldschmidt","Daniel Descalso","Mike Moustakas","Nick Ahmed","AJ Pollock","Max Kepler","Yasmany Tomas"
"Marco Estrada","JC Ramirez","Chris Iannetta","Eric Hosmer","Yangervis Solarte","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Jayson Werth"
"Clayton Kershaw","JC Ramirez","Salvador Perez","Paul Goldschmidt","Jonathan Villar","Mike Moustakas","Alcides Escobar","Max Kepler","Lorenzo Cain","Brandon Moss"
"Michael Wacha","Patrick Corbin","Matt Wieters","Eric Thames","Jonathan Villar","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Mitch Haniger"
"Clayton Kershaw","Michael Wacha","Salvador Perez","Eric Thames","Chris Taylor","Mike Moustakas","Jorge Polanco","Lorenzo Cain","Alex Gordon","Brandon Moss"
"Danny Duffy","Patrick Corbin","Jason Castro","Ryan Zimmerman","Chris Taylor","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Jaff Decker"
"Clayton Kershaw","JC Ramirez","Austin Hedges","Ryan Zimmerman","Cory Spangenberg","Miguel Sano","Erick Aybar","Adam Eaton","Manuel Margot","Hunter Renfroe"
"Robert Gsellman","Joe Ross","Salvador Perez","Ryan Zimmerman","Daniel Murphy","Miguel Sano","Trea Turner","Bryce Harper","Adam Eaton","Jabari Blash"
"Clayton Kershaw","Scott Feldman","Salvador Perez","Eric Hosmer","Brian Dozier","Mike Moustakas","Tim Anderson","Lorenzo Cain","Hunter Renfroe","Jorge Bonifacio"
"Julio Teheran","Michael Wacha","Austin Hedges","Wil Myers","Daniel Murphy","Evan Longoria","Trea Turner","Manuel Margot","Hunter Renfroe","Jabari Blash"
"Clayton Kershaw","Michael Wacha","Stephen Vogt","Wil Myers","Adam Rosales","Trevor Plouffe","Trea Turner","Bryce Harper","Matt Joyce","Jaff Decker"
"Ervin Santana","Michael Wacha","Matt Wieters","Eric Hosmer","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Yasmany Tomas","Jaff Decker"
"Clayton Kershaw","Erasmo Ramirez","Jason Castro","Wil Myers","Brian Dozier","Miguel Sano","Jorge Polanco","Max Kepler","Hunter Renfroe","Jaff Decker"
"Gerrit Cole","Erasmo Ramirez","Stephen Vogt","Wil Myers","Chris Taylor","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Jayson Werth"
"Clayton Kershaw","Patrick Corbin","Jason Castro","Paul Goldschmidt","Christian Colon","Mike Moustakas","Trea Turner","Lorenzo Cain","Alex Gordon","Brandon Moss"
"Wei-Yin Chen","JC Ramirez","Chris Iannetta","Ryan Zimmerman","Daniel Murphy","Manny Machado","Trea Turner","Bryce Harper","Adam Eaton","Mitch Haniger"
"Clayton Kershaw","Michael Wacha","Chris Iannetta","Wil Myers","Yangervis Solarte","Todd Frazier","Erick Aybar","Lorenzo Cain","Manuel Margot","Jabari Blash"
"Clayton Kershaw","Wade Miley","Chris Iannetta","Paul Goldschmidt","Cory Spangenberg","Travis Shaw","Chris Owings","AJ Pollock","Yasmany Tomas","Jaff Decker"
"Wei-Yin Chen","Wade Miley","Chris Iannetta","Paul Goldschmidt","Daniel Descalso","Anthony Rendon","Trea Turner","Bryce Harper","AJ Pollock","Yasmany Tomas"
"Gerrit Cole","Erasmo Ramirez","Jason Castro","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Brandon Moss","Mitch Haniger"
"Clayton Kershaw","Erasmo Ramirez","Mike Zunino","Wil Myers","Robinson Cano","Mike Moustakas","Trea Turner","Nelson Cruz","Mitch Haniger","Jarrod Dyson"
"Clayton Kershaw","Robert Gsellman","Austin Hedges","Wil Myers","Yangervis Solarte","Evan Longoria","Erick Aybar","Manuel Margot","Brandon Moss","Jaff Decker"
"Clayton Kershaw","Robert Gsellman","Austin Hedges","Eric Thames","Cory Spangenberg","Anthony Rendon","Erick Aybar","Lorenzo Cain","Hunter Renfroe","Jabari Blash"
"Marco Estrada","Erasmo Ramirez","Stephen Vogt","Ryan Zimmerman","Daniel Murphy","Justin Turner","Trea Turner","Bryce Harper","Adam Eaton","Hunter Renfroe"
"Clayton Kershaw","Scott Feldman","Salvador Perez","Eric Hosmer","Cory Spangenberg","Justin Turner","Trea Turner","Alex Gordon","Brandon Moss","Jorge Bonifacio"
"Danny Duffy","Erasmo Ramirez","Matt Wieters","Eric Thames","Daniel Murphy","Anthony Rendon","Trea Turner","Adam Eaton","Manuel Margot","Jaff Decker"
"Scott Feldman","JC Ramirez","Russell Martin","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Charlie Blackmon","AJ Pollock"
"Marco Estrada","Wei-Yin Chen","Salvador Perez","Wil Myers","Yangervis Solarte","Manny Machado","Trea Turner","Manuel Margot","Hunter Renfroe","Jabari Blash"
"Clayton Kershaw","Scott Feldman","Jason Castro","Eric Hosmer","Yangervis Solarte","Mike Moustakas","Alcides Escobar","AJ Pollock","Lorenzo Cain","Alex Gordon"
"Clayton Kershaw","Wade Miley","Austin Hedges","Eric Hosmer","Robinson Cano","Mike Moustakas","Jean Segura","Nelson Cruz","Mitch Haniger","Guillermo Heredia"
"Clayton Kershaw","Joe Ross","Jason Castro","Wil Myers","Cory Spangenberg","Anthony Rendon","Erick Aybar","Manuel Margot","Brandon Moss","Hunter Renfroe"
"Wei-Yin Chen","Wade Miley","Matt Wieters","Josh Bell","Daniel Murphy","Travis Shaw","Trea Turner","Bryce Harper","Adam Eaton","Jabari Blash"
"Scott Feldman","Joe Ross","Matt Wieters","Wil Myers","Daniel Murphy","Mike Moustakas","Trea Turner","Bryce Harper","Jayson Werth","Billy Hamilton"
"Danny Duffy","Wei-Yin Chen","Salvador Perez","Wil Myers","Cory Spangenberg","Evan Longoria","Erick Aybar","Bryce Harper","Manuel Margot","Jabari Blash"
"Clayton Kershaw","Erasmo Ramirez","Yasmani Grandal","Adrian Gonzalez","Chris Taylor","Justin Turner","Trea Turner","Bryce Harper","Manuel Margot","Yasiel Puig"
"Clayton Kershaw","Patrick Corbin","Salvador Perez","Eric Hosmer","Jedd Gyorko","Matt Davidson","Alcides Escobar","Bryce Harper","Lorenzo Cain","Brandon Moss"
"Clayton Kershaw","Robert Gsellman","Austin Hedges","Wil Myers","Cory Spangenberg","Mike Moustakas","Alcides Escobar","Lorenzo Cain","Brandon Moss","Jorge Bonifacio"
"Clayton Kershaw","Erasmo Ramirez","Salvador Perez","Paul Goldschmidt","Daniel Murphy","Mike Moustakas","Taylor Motter","Lorenzo Cain","Alex Gordon","Jorge Bonifacio"
"Gerrit Cole","JC Ramirez","Matt Wieters","Ryan Zimmerman","Daniel Murphy","Joey Gallo","Trea Turner","Bryce Harper","Manuel Margot","Hunter Renfroe"
"Clayton Kershaw","JC Ramirez","Chris Iannetta","Paul Goldschmidt","Yangervis Solarte","Anthony Rendon","Nick Ahmed","AJ Pollock","Lorenzo Cain","Yasmany Tomas"
"Marco Estrada","Wade Miley","Salvador Perez","Eric Hosmer","Brian Dozier","Mike Moustakas","Alcides Escobar","Bryce Harper","Charlie Blackmon","Lorenzo Cain"
"Clayton Kershaw","Joe Ross","Stephen Vogt","Eric Hosmer","Daniel Murphy","Mike Moustakas","Tim Anderson","Lorenzo Cain","Alex Gordon","Brandon Moss"
"Ervin Santana","Wade Miley","Austin Hedges","Ryan Zimmerman","Yangervis Solarte","Anthony Rendon","Trea Turner","Bryce Harper","Jayson Werth","Kevin Pillar"
"Clayton Kershaw","Wei-Yin Chen","Salvador Perez","Eric Hosmer","Kolten Wong","Mike Moustakas","Jean Segura","Alex Gordon","Manuel Margot","Jorge Bonifacio"
"Marco Estrada","Robert Gsellman","Austin Hedges","Wil Myers","Cory Spangenberg","Manny Machado","Erick Aybar","Bryce Harper","Adam Eaton","Manuel Margot"
"Clayton Kershaw","JC Ramirez","Salvador Perez","Eric Hosmer","Daniel Murphy","Todd Frazier","Alcides Escobar","Alex Gordon","Manuel Margot","Brandon Moss"
"Wade Miley","Erasmo Ramirez","Matt Wieters","Ryan Zimmerman","Jonathan Villar","Miguel Sano","Trea Turner","Bryce Harper","Adam Eaton","Brandon Moss"
"Clayton Kershaw","Joe Ross","Salvador Perez","Eric Hosmer","Jedd Gyorko","Mike Moustakas","Alcides Escobar","Adam Eaton","Max Kepler","Alex Gordon"
"Marco Estrada","JC Ramirez","Austin Hedges","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Taylor Motter","Bryce Harper","Adam Eaton","Lorenzo Cain"
"Clayton Kershaw","Wei-Yin Chen","Salvador Perez","Eric Hosmer","Christian Colon","Mike Moustakas","Jorge Polanco","Yasmany Tomas","Brandon Moss","Mitch Haniger"
"Clayton Kershaw","JC Ramirez","Tucker Barnhart","Joey Votto","Jose Peraza","Mike Moustakas","Trea Turner","Billy Hamilton","Scott Schebler","Hunter Renfroe"
"Clayton Kershaw","Erasmo Ramirez","Salvador Perez","Paul Goldschmidt","Daniel Descalso","Miguel Sano","Chris Owings","AJ Pollock","Yasmany Tomas","Hunter Renfroe"
"Danny Duffy","Michael Wacha","Austin Hedges","Wil Myers","Cory Spangenberg","Nolan Arenado","Chris Owings","Charlie Blackmon","Manuel Margot","Hunter Renfroe"
"Clayton Kershaw","JC Ramirez","Jason Castro","Joe Mauer","Yangervis Solarte","Miguel Sano","Trea Turner","Max Kepler","Byron Buxton","Jabari Blash"
"Clayton Kershaw","JC Ramirez","Yadier Molina","Wil Myers","Jedd Gyorko","Mike Moustakas","Aledmys Diaz","Bryce Harper","Randal Grichuk","Matt Adams"
"Clayton Kershaw","Scott Feldman","Chris Iannetta","Paul Goldschmidt","Brandon Drury","Justin Turner","Nick Ahmed","Bryce Harper","AJ Pollock","Jaff Decker"
"Clayton Kershaw","Wei-Yin Chen","Austin Hedges","Eric Hosmer","Christian Colon","Mike Moustakas","Alcides Escobar","Adam Eaton","Lorenzo Cain","Jabari Blash"
"Gerrit Cole","Wei-Yin Chen","Austin Hedges","Wil Myers","Yangervis Solarte","Nolan Arenado","Erick Aybar","Bryce Harper","AJ Pollock","Manuel Margot"
"Clayton Kershaw","Wade Miley","Matt Wieters","Eric Hosmer","Christian Colon","Mike Moustakas","Chris Owings","Alex Gordon","Manuel Margot","Brandon Moss"
"Clayton Kershaw","Erasmo Ramirez","Chris Iannetta","Wil Myers","Daniel Descalso","Joey Gallo","Nick Ahmed","Bryce Harper","AJ Pollock","Yasmany Tomas"
"Clayton Kershaw","Erasmo Ramirez","Jonathan Lucroy","Ryan Rua","Rougned Odor","Mike Moustakas","Trea Turner","Carlos Gomez","Nomar Mazara","Manuel Margot"
"Marco Estrada","Robert Gsellman","Salvador Perez","Eric Hosmer","Jonathan Villar","Mike Moustakas","Trea Turner","Adam Eaton","Lorenzo Cain","Alex Gordon"
"Clayton Kershaw","Joe Ross","Austin Hedges","Wil Myers","Cory Spangenberg","Miguel Sano","Erick Aybar","Billy Hamilton","Max Kepler","Jabari Blash"
"Robert Gsellman","Patrick Corbin","Jason Castro","Eric Thames","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Jayson Werth","Yasmany Tomas"
"Marco Estrada","Scott Feldman","Matt Wieters","Josh Bell","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Manuel Margot","Matt Joyce"
"Clayton Kershaw","Michael Wacha","Chris Iannetta","Eric Hosmer","Brandon Drury","Matt Davidson","Chris Owings","AJ Pollock","Yasmany Tomas","Manuel Margot"
"Clayton Kershaw","Patrick Corbin","Salvador Perez","Eric Hosmer","Christian Colon","Anthony Rendon","Trea Turner","Lorenzo Cain","Mitch Haniger","Jorge Bonifacio"
"Danny Duffy","Michael Wacha","Austin Hedges","Wil Myers","Brian Dozier","Miguel Sano","Erick Aybar","Bryce Harper","Hunter Renfroe","Jabari Blash"
"Clayton Kershaw","JC Ramirez","Salvador Perez","Eric Hosmer","Brian Dozier","Miguel Sano","Jorge Polanco","Max Kepler","Eddie Rosario","Jabari Blash"
